Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeBand,CompanyAgeBand
41,Yes,Travel_Rarely,1102,Sales,1,Life Sciences,Female,94,Sales Executive,Single,5993,19479,8,Yes,11,8,0,6,4,0,5,41–50,0–10
49,No,Travel_Frequently,279,Research & Development,8,Life Sciences,Male,61,Research Scientist,Married,5130,24907,1,No,23,10,3,10,7,1,7,41–50,0–10
37,Yes,Travel_Rarely,1373,Research & Development,2,Other,Male,92,Laboratory Technician,Single,2090,2396,6,Yes,15,7,3,0,0,0,0,31–40,0
33,No,Travel_Frequently,1392,Research & Development,3,Life Sciences,Female,56,Research Scientist,Married,2909,23159,1,Yes,11,8,3,8,7,3,0,31–40,0–10
27,No,Travel_Rarely,591,Research & Development,2,Medical,Male,40,Laboratory Technician,Married,3468,16632,9,No,12,6,3,2,2,2,2,18–30,0–10
32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,Male,79,Laboratory Technician,Single,3068,11864,0,No,13,8,2,7,7,3,6,31–40,0–10
59,No,Travel_Rarely,1324,Research & Development,3,Medical,Female,81,Laboratory Technician,Married,2670,9964,4,Yes,20,12,3,1,0,0,0,51–60,0–10
30,No,Travel_Rarely,1358,Research & Development,24,Life Sciences,Male,67,Laboratory Technician,Divorced,2693,13335,1,No,22,1,2,1,0,0,0,18–30,0–10
38,No,Travel_Frequently,216,Research & Development,23,Life Sciences,Male,44,Manufacturing Director,Single,9526,8787,0,No,21,10,2,9,7,1,8,31–40,0–10
36,No,Travel_Rarely,1299,Research & Development,27,Medical,Male,94,Healthcare Representative,Married,5237,16577,6,No,13,17,3,7,7,7,7,31–40,0–10
35,No,Travel_Rarely,809,Research & Development,16,Medical,Male,84,Laboratory Technician,Married,2426,16479,0,No,13,6,5,5,4,0,3,31–40,0–10
29,No,Travel_Rarely,153,Research & Development,15,Life Sciences,Female,49,Laboratory Technician,Single,4193,12682,0,Yes,12,10,3,9,5,0,8,18–30,0–10
31,No,Travel_Rarely,670,Research & Development,26,Life Sciences,Male,31,Research Scientist,Divorced,2911,15170,1,No,17,5,1,5,2,4,3,31–40,0–10
34,No,Travel_Rarely,1346,Research & Development,19,Medical,Male,93,Laboratory Technician,Divorced,2661,8758,0,No,11,3,2,2,2,1,2,31–40,0–10
28,Yes,Travel_Rarely,103,Research & Development,24,Life Sciences,Male,50,Laboratory Technician,Single,2028,12947,5,Yes,14,6,4,4,2,0,3,18–30,0–10
29,No,Travel_Rarely,1389,Research & Development,21,Life Sciences,Female,51,Manufacturing Director,Divorced,9980,10195,1,No,11,10,1,10,9,8,8,18–30,0–10
32,No,Travel_Rarely,334,Research & Development,5,Life Sciences,Male,80,Research Scientist,Divorced,3298,15053,0,Yes,12,7,5,6,2,0,5,31–40,0–10
22,No,Non-Travel,1123,Research & Development,16,Medical,Male,96,Laboratory Technician,Divorced,2935,7324,1,Yes,13,1,2,1,0,0,0,18–30,0–10
53,No,Travel_Rarely,1219,Sales,2,Life Sciences,Female,78,Manager,Married,15427,22021,2,No,16,31,3,25,8,3,7,51–60,21–30
38,No,Travel_Rarely,371,Research & Development,2,Life Sciences,Male,45,Research Scientist,Single,3944,4306,5,Yes,11,6,3,3,2,1,2,31–40,0–10
24,No,Non-Travel,673,Research & Development,11,Other,Female,96,Manufacturing Director,Divorced,4011,8232,0,No,18,5,5,4,2,1,3,18–30,0–10
36,Yes,Travel_Rarely,1218,Sales,9,Life Sciences,Male,82,Sales Representative,Single,3407,6986,7,No,23,10,4,5,3,0,3,31–40,0–10
34,No,Travel_Rarely,419,Research & Development,7,Life Sciences,Female,53,Research Director,Single,11994,21293,0,No,11,13,4,12,6,2,11,31–40,11–20
21,No,Travel_Rarely,391,Research & Development,15,Life Sciences,Male,96,Research Scientist,Single,1232,19281,1,No,14,0,6,0,0,0,0,18–30,0
34,Yes,Travel_Rarely,699,Research & Development,6,Medical,Male,83,Research Scientist,Single,2960,17102,2,No,11,8,2,4,2,1,3,31–40,0–10
53,No,Travel_Rarely,1282,Research & Development,5,Other,Female,58,Manager,Divorced,19094,10735,4,No,11,26,3,14,13,4,8,51–60,11–20
32,Yes,Travel_Frequently,1125,Research & Development,16,Life Sciences,Female,72,Research Scientist,Single,3919,4681,1,Yes,22,10,5,10,2,6,7,31–40,0–10
42,No,Travel_Rarely,691,Sales,8,Marketing,Male,48,Sales Executive,Married,6825,21173,0,No,11,10,2,9,7,4,2,41–50,0–10
44,No,Travel_Rarely,477,Research & Development,7,Medical,Female,42,Healthcare Representative,Married,10248,2094,3,No,14,24,4,22,6,5,17,41–50,21–30
46,No,Travel_Rarely,705,Sales,2,Marketing,Female,83,Manager,Single,18947,22822,3,No,12,22,2,2,2,2,1,41–50,0–10
33,No,Travel_Rarely,924,Research & Development,2,Medical,Male,78,Laboratory Technician,Single,2496,6670,4,No,11,7,3,1,1,0,0,31–40,0–10
44,No,Travel_Rarely,1459,Research & Development,10,Other,Male,41,Healthcare Representative,Married,6465,19121,2,Yes,13,9,5,4,2,1,3,41–50,0–10
30,No,Travel_Rarely,125,Research & Development,9,Medical,Male,83,Laboratory Technician,Single,2206,16117,1,No,13,10,5,10,0,1,8,18–30,0–10
39,Yes,Travel_Rarely,895,Sales,5,Technical Degree,Male,56,Sales Representative,Married,2086,3335,3,No,14,19,6,1,0,0,0,31–40,0–10
24,Yes,Travel_Rarely,813,Research & Development,1,Medical,Male,61,Research Scientist,Married,2293,3020,2,Yes,16,6,2,2,0,2,0,18–30,0–10
43,No,Travel_Rarely,1273,Research & Development,2,Medical,Female,72,Research Scientist,Divorced,2645,21923,1,No,12,6,3,5,3,1,4,41–50,0–10
50,Yes,Travel_Rarely,869,Sales,3,Marketing,Male,86,Sales Representative,Married,2683,3810,1,Yes,14,3,2,3,2,0,2,41–50,0–10
35,No,Travel_Rarely,890,Sales,2,Marketing,Female,97,Sales Representative,Married,2014,9687,1,No,13,2,3,2,2,2,2,31–40,0–10
36,No,Travel_Rarely,852,Research & Development,5,Life Sciences,Female,82,Research Scientist,Married,3419,13072,9,Yes,14,6,3,1,1,0,0,31–40,0–10
33,No,Travel_Frequently,1141,Sales,1,Life Sciences,Female,42,Sales Executive,Married,5376,3193,2,No,19,10,3,5,3,1,3,31–40,0–10
35,No,Travel_Rarely,464,Research & Development,4,Other,Male,75,Laboratory Technician,Divorced,1951,10910,1,No,12,1,3,1,0,0,0,31–40,0–10
27,No,Travel_Rarely,1240,Research & Development,2,Life Sciences,Female,33,Laboratory Technician,Divorced,2341,19715,1,No,13,1,6,1,0,0,0,18–30,0–10
26,Yes,Travel_Rarely,1357,Research & Development,25,Life Sciences,Male,48,Laboratory Technician,Single,2293,10558,1,No,12,1,2,1,0,0,1,18–30,0–10
27,No,Travel_Frequently,994,Sales,8,Life Sciences,Male,37,Sales Executive,Single,8726,2975,1,No,15,9,0,9,8,1,7,18–30,0–10
30,No,Travel_Frequently,721,Research & Development,1,Medical,Female,58,Laboratory Technician,Single,4011,10781,1,No,23,12,2,12,8,3,7,18–30,11–20
41,Yes,Travel_Rarely,1360,Research & Development,12,Technical Degree,Female,49,Research Director,Married,19545,16280,1,No,12,23,0,22,15,15,8,41–50,21–30
34,No,Non-Travel,1065,Sales,23,Marketing,Male,72,Sales Executive,Single,4568,10034,0,No,20,10,2,9,5,8,7,31–40,0–10
37,No,Travel_Rarely,408,Research & Development,19,Life Sciences,Male,73,Research Scientist,Married,3022,10227,4,No,21,8,1,1,0,0,0,31–40,0–10
46,No,Travel_Frequently,1211,Sales,5,Marketing,Male,98,Sales Executive,Single,5772,20445,4,Yes,21,14,4,9,6,0,8,41–50,0–10
35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,Male,36,Laboratory Technician,Married,2269,4892,1,No,19,1,2,1,0,0,1,31–40,0–10
48,Yes,Travel_Rarely,626,Research & Development,1,Life Sciences,Male,98,Laboratory Technician,Single,5381,19294,9,Yes,13,23,2,1,0,0,0,41–50,0–10
28,Yes,Travel_Rarely,1434,Research & Development,5,Technical Degree,Male,50,Laboratory Technician,Single,3441,11179,1,Yes,13,2,3,2,2,2,2,18–30,0–10
44,No,Travel_Rarely,1488,Sales,1,Marketing,Female,75,Sales Executive,Divorced,5454,4009,5,Yes,21,9,2,4,3,1,3,41–50,0–10
35,No,Non-Travel,1097,Research & Development,11,Medical,Male,79,Healthcare Representative,Married,9884,8302,2,Yes,13,10,3,4,0,2,3,31–40,0–10
26,No,Travel_Rarely,1443,Sales,23,Marketing,Female,47,Sales Executive,Married,4157,21436,7,Yes,19,5,2,2,2,0,0,18–30,0–10
33,No,Travel_Frequently,515,Research & Development,1,Life Sciences,Female,98,Research Director,Single,13458,15146,1,Yes,12,15,1,15,14,8,12,31–40,11–20
35,No,Travel_Frequently,853,Sales,18,Life Sciences,Male,71,Sales Executive,Married,9069,11031,1,No,22,9,3,9,8,1,8,31–40,0–10
35,No,Travel_Rarely,1142,Research & Development,23,Medical,Female,30,Laboratory Technician,Married,4014,16002,3,Yes,15,4,3,2,2,2,2,31–40,0–10
31,No,Travel_Rarely,655,Research & Development,7,Life Sciences,Male,48,Laboratory Technician,Divorced,5915,9528,3,No,22,10,3,7,7,1,7,31–40,0–10
37,No,Travel_Rarely,1115,Research & Development,1,Life Sciences,Male,51,Manufacturing Director,Divorced,5993,2689,1,No,18,7,2,7,5,0,7,31–40,0–10
32,No,Travel_Rarely,427,Research & Development,1,Medical,Male,33,Manufacturing Director,Married,6162,10877,1,Yes,22,9,3,9,8,7,8,31–40,0–10
38,No,Travel_Frequently,653,Research & Development,29,Life Sciences,Female,50,Laboratory Technician,Single,2406,5456,1,No,11,10,2,10,3,9,9,31–40,0–10
